ACU   Abilene Christian Wildcats
AFA   Air Force Falcons
AKR   Akron Zips
AAMU   Alabama A&M Bulldogs
ALA   Alabama Crimson Tide
ALST   Alabama State Lady Hornets
ALB   Albany Great Danes
ALCN   Alcorn State Lady Braves
AMER   American University Eagles
APP   Appalachian State Mountaineers
ASU   Arizona State Sun Devils
ARIZ   Arizona Wildcats
ARK   Arkansas Razorbacks
ARST   Arkansas State Red Wolves
UAPB   Arkansas-Pine Bluff Golden Lions
ARMY   Army Black Knights
AUB   Auburn Tigers
APSU   Austin Peay Governors
BYU   BYU Cougars
BALL   Ball State Cardinals
BAY   Baylor Bears
BELL   Bellarmine Knights
BEL   Belmont Bruins
BCU   Bethune-Cookman Wildcats
BING   Binghamton Bearcats
BOIS   Boise State Broncos
BC   Boston College Eagles
BU   Boston University Terriers
BGSU   Bowling Green Falcons
BRAD   Bradley Braves
BRWN   Brown Bears
BRY   Bryant Bulldogs
BUCK   Bucknell Bison
BUFF   Buffalo Bulls
BUT   Butler Bulldogs
CSUN   CSU Northridge Matadors
CP   Cal Poly Mustangs
CSUB   Cal State Bakersfield Roadrunners
CSUF   Cal State Fullerton Titans
CBU   California Baptist Lancers
CAL   California Golden Bears
CAM   Campbell Fighting Camels
CAN   Canisius Golden Griffins
CARK   Central Arkansas Bears
CCSU   Central Connecticut Blue Devils
CMU   Central Michigan Chippewas
COFC   Charleston Cougars
CHSO   Charleston Southern Buccaneers
CLT   Charlotte 49ers
UTC   Chattanooga Mocs
CHST   Chicago State Cougars
CIN   Cincinnati Bearcats
CLEM   Clemson Tigers
CLEV   Cleveland State Vikings
CCU   Coastal Carolina Chanticleers
COLG   Colgate Raiders
COLO   Colorado Buffaloes
CSU   Colorado State Rams
COLU   Columbia Lions
COPP   Coppin State Eagles
COR   Cornell Big Red
CREI   Creighton Bluejays
DART   Dartmouth Big Green
DAV   Davidson Wildcats
DAY   Dayton Flyers
DEP   DePaul Blue Demons
DEL   Delaware Blue Hens
DSU   Delaware State Lady Hornets
DEN   Denver Pioneers
DETM   Detroit Mercy Titans
DRKE   Drake Bulldogs
DREX   Drexel Dragons
DUKE   Duke Blue Devils
DUQ   Duquesne Dukes
ECU   East Carolina Pirates
ETSU   East Tennessee State Bucs
EIU   Eastern Illinois Panthers
EKU   Eastern Kentucky Colonels
EMU   Eastern Michigan Eagles
EWU   Eastern Washington Eagles
ELON   Elon Phoenix
EVAN   Evansville Purple Aces
FAIR   Fairfield Stags
FDU   Fairleigh Dickinson Knights
FAMU   Florida A&M Rattlers
FAU   Florida Atlantic Owls
FLA   Florida Gators
FGCU   Florida Gulf Coast Eagles
FIU   Florida International Panthers
FSU   Florida State Seminoles
FOR   Fordham Rams
FRES   Fresno State Bulldogs
FUR   Furman Paladins
GWEB   Gardner-Webb Runnin' Bulldogs
GMU   George Mason Patriots
GW   George Washington Colonials
GTWN   Georgetown Hoyas
UGA   Georgia Lady Bulldogs
GASO   Georgia Southern Eagles
GAST   Georgia State Panthers
GT   Georgia Tech Yellow Jackets
GONZ   Gonzaga Bulldogs
GRAM   Grambling Lady Tigers
GCU   Grand Canyon Lopes
GB   Green Bay Phoenix
HAMP   Hampton Lady Pirates
HART   Hartford Hawks
HARV   Harvard Crimson
HAW   Hawai'i Rainbow Wahine
HPU   High Point Panthers
